,Date,Speed,ToVol,Heavy_Ratio,DensityProxy,Label
0,2017-04-02 00:00:00,57.71666666666667,31.0,0.0026881720430107525,0.5371065550101068,0
1,2017-04-02 02:00:00,60.3125,17.791666666666668,0.0023419203747072595,0.29499136442141627,0
2,2017-04-02 04:00:00,59.39166666666667,24.625,0.005076142131979695,0.4146204574154623,0
3,2017-04-02 06:00:00,58.725,59.291666666666664,0.023190442726633873,1.0096494962395346,0
4,2017-04-02 08:00:00,52.85,96.45833333333333,0.01166306695464363,1.8251340271207819,1
5,2017-04-02 10:00:00,47.74583333333334,125.04166666666667,0.011996001332889037,2.618902172964482,2
6,2017-04-02 12:00:00,43.36666666666667,156.5,0.007987220447284345,3.608762490392006,2
7,2017-04-02 14:00:00,43.07916666666667,156.5,0.007987220447284345,3.6328465035303217,2
8,2017-04-02 16:00:00,46.01666666666667,136.16666666666666,0.0073439412484700125,2.9590727997102495,2
9,2017-04-02 18:00:00,46.916666666666664,124.70833333333333,0.006014032743067157,2.658081705150977,1
10,2017-04-02 20:00:00,46.92083333333333,97.58333333333333,0.005550811272416738,2.079744250066602,1
11,2017-04-02 22:00:00,53.520833333333336,49.958333333333336,0.0050041701417848205,0.9334371350720124,0
12,2017-04-03 00:00:00,58.84583333333333,19.458333333333332,0.008565310492505354,0.33066628903207534,0
13,2017-04-03 02:00:00,64.52916666666667,13.333333333333334,0.059375,0.20662491121585846,0
14,2017-04-03 04:00:00,59.03333333333333,35.041666666666664,0.004756242568370987,0.5935911914172783,0
15,2017-04-03 06:00:00,48.475,178.04166666666666,0.010063187456119824,3.6728554237579507,2
16,2017-04-03 08:00:00,47.06666666666666,190.66666666666666,0.013111888111888112,4.050991501416431,2
17,2017-04-03 10:00:00,49.69166666666666,135.83333333333334,0.008282208588957054,2.7335233942646324,1
18,2017-04-03 12:00:00,49.19583333333333,136.0,0.008884803921568627,2.7644617599728973,1
19,2017-04-03 14:00:00,48.10833333333333,141.0,0.007387706855791962,2.9308851550320463,1
20,2017-04-03 16:00:00,47.275,146.25,0.009971509971509971,3.0936012691697514,1
21,2017-04-03 18:00:00,45.26666666666667,152.16666666666666,0.0104052573932092,3.361561119293077,2
22,2017-04-03 20:00:00,47.3125,100.45833333333333,0.004562422231439237,2.123293703214443,1
23,2017-04-03 22:00:00,50.800000000000004,67.83333333333333,0.004299754299754301,1.335301837270341,0
24,2017-04-04 00:00:00,56.18333333333334,23.291666666666668,0.005366726296958855,0.41456541085731236,0
25,2017-04-04 02:00:00,58.13333333333333,11.541666666666666,0.0,0.19853784403669725,0
26,2017-04-04 04:00:00,56.99166666666667,32.0,0.005208333333333333,0.5614855973095482,0
27,2017-04-04 06:00:00,49.00833333333333,154.79166666666666,0.009959623149394348,3.158476449583404,2
28,2017-04-04 08:00:00,40.30416666666667,195.08333333333334,0.011747116616830413,4.840277059857335,2
29,2017-04-04 10:00:00,49.02916666666667,137.375,0.007279344858962694,2.8019036287923855,1
30,2017-04-04 12:00:00,47.9625,139.04166666666666,0.012286484866646689,2.8989662062375117,1
31,2017-04-04 14:00:00,47.9625,141.95833333333334,0.009979454065159965,2.9597776040309274,1
32,2017-04-04 16:00:00,47.15833333333333,147.04166666666666,0.010201190138849533,3.1180420569005123,1
33,2017-04-04 18:00:00,43.23333333333333,158.91666666666666,0.012585212375458836,3.6757902852737088,2
34,2017-04-04 20:00:00,45.94166666666666,110.625,0.0037664783427495295,2.4079448576092872,1
35,2017-04-04 22:00:00,50.64166666666667,74.54166666666667,0.005589714924538848,1.471943393121606,1
36,2017-04-05 00:00:00,57.34583333333333,30.458333333333332,0.0013679890560875513,0.5311342003923563,0
37,2017-04-05 02:00:00,56.125,14.458333333333334,0.005763688760806916,0.25760950259836674,0
38,2017-04-05 04:00:00,58.87916666666666,30.791666666666668,0.002706359945872801,0.5229636968367419,0
39,2017-04-05 06:00:00,51.166666666666664,160.04166666666666,0.010674303566779484,3.1278501628664497,2
40,2017-04-05 08:00:00,42.083333333333336,194.66666666666666,0.010702054794520549,4.625742574257425,2
41,2017-04-05 10:00:00,48.975,139.625,0.008952551477170993,2.850944359367024,1
42,2017-04-05 12:00:00,48.9625,135.70833333333334,0.011053116364752839,2.771679006042039,1
43,2017-04-05 14:00:00,46.84166666666667,139.54166666666666,0.010152284263959392,2.979007294075787,1
44,2017-04-05 16:00:00,44.65,144.45833333333334,0.013267955004326506,3.235349010824935,2
45,2017-04-05 18:00:00,36.395833333333336,159.58333333333334,0.03315926892950392,4.384659416141957,2
46,2017-04-05 20:00:00,43.979166666666664,97.91666666666667,0.028085106382978724,2.226432970156324,1
47,2017-04-05 22:00:00,45.07083333333333,81.33333333333333,0.03432377049180328,1.8045668854580752,1
48,2017-04-06 00:00:00,50.15,49.625,0.026028547439126786,0.9895314057826521,0
49,2017-04-06 02:00:00,50.09166666666667,34.125,0.015873015873015872,0.6812510397604392,0
50,2017-04-06 04:00:00,49.37916666666666,46.5,0.03405017921146953,0.9416926841616742,1
51,2017-04-06 06:00:00,45.112500000000004,144.58333333333334,0.013256484149855908,3.204950586496721,2
52,2017-04-06 08:00:00,42.34166666666667,199.41666666666666,0.012745507730881738,4.709702814406612,2
53,2017-04-06 10:00:00,49.637499999999996,136.375,0.00977696303085854,2.7474187861999497,1
54,2017-04-06 12:00:00,47.95416666666667,144.79166666666666,0.01064748201438849,3.019376140411851,1
55,2017-04-06 14:00:00,47.083333333333336,150.125,0.008048848182070497,3.1884955752212387,1
