Sin,Cos,Vol,Occ,Spd,Label
0.0,1.0,40.0,1.59,52.65,2
0.043619387365336,0.9990482215818578,37.5,1.47,55.900000000000006,2
0.08715574274765817,0.9961946980917455,33.0,1.37,54.75,2
0.13052619222005157,0.9914448613738104,23.0,0.95,57.75,2
0.17364817766693033,0.984807753012208,32.5,1.365,56.5,2
0.21643961393810288,0.9762960071199334,19.0,0.8300000000000001,53.45,2
0.25881904510252074,0.9659258262890683,18.0,0.755,58.35,2
0.3007057995042731,0.9537169507482269,19.0,0.815,56.400000000000006,2
0.3420201433256687,0.9396926207859084,18.0,0.7050000000000001,57.85,2
0.3826834323650898,0.9238795325112867,14.5,0.595,54.55,2
0.42261826174069944,0.9063077870366499,13.5,0.5549999999999999,61.15,2
0.46174861323503386,0.8870108331782217,11.5,0.55,54.9,2
0.49999999999999994,0.8660254037844387,14.0,0.55,58.05,2
0.5372996083468238,0.8433914458128857,12.5,0.5700000000000001,54.9,2
0.573576436351046,0.8191520442889918,9.0,0.35,64.0,2
0.6087614290087205,0.7933533402912353,12.0,0.535,54.849999999999994,2
0.6427876096865393,0.766044443118978,9.0,0.365,65.25,2
0.6755902076156602,0.7372773368101241,11.0,0.475,63.599999999999994,2
0.7071067811865476,0.7071067811865476,11.5,0.43,63.25,2
0.737277336810124,0.6755902076156602,14.0,0.585,56.1,2
0.766044443118978,0.6427876096865394,10.0,0.41000000000000003,55.35,2
0.7933533402912352,0.6087614290087207,12.0,0.595,55.25,2
0.8191520442889917,0.5735764363510462,11.5,0.545,50.7,1
0.8433914458128856,0.5372996083468239,12.0,0.575,56.3,2
0.8660254037844386,0.5000000000000001,14.5,0.595,58.6,2
0.8870108331782217,0.46174861323503386,14.5,0.79,58.1,2
0.9063077870366499,0.42261826174069944,17.5,0.7,59.0,2
0.9238795325112867,0.38268343236508984,16.5,0.7549999999999999,52.75,2
0.9396926207859083,0.3420201433256688,23.0,1.0350000000000001,56.8,2
0.9537169507482269,0.30070579950427306,28.0,1.205,56.75,2
0.9659258262890682,0.25881904510252096,25.0,0.95,59.75,2
0.9762960071199334,0.2164396139381029,40.0,1.705,55.900000000000006,2
0.984807753012208,0.17364817766693041,47.0,2.04,56.150000000000006,2
0.9914448613738104,0.1305261922200515,39.5,1.76,53.8,2
0.9961946980917455,0.08715574274765814,48.0,1.855,58.7,2
0.9990482215818578,0.04361938736533601,70.5,3.0949999999999998,57.599999999999994,2
1.0,6.123233995736766e-17,91.0,3.47,57.0,2
0.9990482215818578,-0.04361938736533589,81.5,2.9699999999999998,57.7,2
0.9961946980917455,-0.08715574274765801,90.5,3.29,56.5,2
0.9914448613738105,-0.13052619222005138,108.5,3.8,59.7,2
0.984807753012208,-0.1736481776669303,118.5,4.345000000000001,56.05,2
0.9762960071199335,-0.21643961393810257,112.5,4.32,54.349999999999994,2
0.9659258262890683,-0.25881904510252085,139.5,5.77,51.75,2
0.9537169507482269,-0.30070579950427295,210.5,9.780000000000001,50.1,1
0.9396926207859084,-0.3420201433256685,207.5,12.0,40.9,0
0.9238795325112867,-0.3826834323650897,278.0,18.0,36.3,0
0.90630778703665,-0.42261826174069933,196.5,18.465,33.8,0
0.8870108331782216,-0.4617486132350342,223.0,22.84,33.95,0
0.8660254037844387,-0.4999999999999998,224.0,18.035,33.45,0
0.8433914458128858,-0.5372996083468236,247.0,27.39,29.85,0
0.8191520442889917,-0.5735764363510462,164.0,21.785,31.700000000000003,0
0.7933533402912352,-0.6087614290087207,229.0,40.355,33.15,0
0.766044443118978,-0.6427876096865394,237.0,15.25,35.3,0
0.7372773368101241,-0.6755902076156602,219.5,11.45,39.35,0
0.7071067811865476,-0.7071067811865475,178.0,7.615,48.1,1
0.6755902076156604,-0.737277336810124,163.0,7.02,48.45,1
0.6427876096865395,-0.7660444431189779,195.0,10.375,44.75,0
0.6087614290087209,-0.793353340291235,156.0,7.865,44.7,0
0.5735764363510459,-0.8191520442889919,155.0,7.994999999999999,48.2,1
0.5372996083468241,-0.8433914458128855,173.5,7.885,46.65,0
0.5000000000000003,-0.8660254037844385,155.5,6.245,52.0,2
0.4617486132350339,-0.8870108331782217,144.5,7.045,45.45,0
0.4226182617406995,-0.9063077870366499,115.0,6.54,49.55,1
0.3826834323650899,-0.9238795325112867,125.0,5.77,51.75,2
0.3420201433256689,-0.9396926207859083,135.0,6.105,50.2,1
0.30070579950427334,-0.9537169507482268,117.0,5.07,49.55,1
0.2588190451025206,-0.9659258262890683,108.5,4.6899999999999995,51.0,1
0.21643961393810318,-0.9762960071199333,136.0,5.77,50.0,1
0.17364817766693028,-0.984807753012208,143.0,6.195,50.0,1
0.13052619222005157,-0.9914448613738104,144.5,6.3,47.75,1
0.0871557427476582,-0.9961946980917455,151.5,7.085,46.150000000000006,0
0.04361938736533607,-0.9990482215818578,173.0,8.76,44.95,0
1.2246467991473532e-16,-1.0,140.0,6.14,48.0,1
-0.04361938736533583,-0.9990482215818578,124.0,5.18,49.55,1
-0.08715574274765794,-0.9961946980917455,111.5,4.715,48.2,1
-0.13052619222005132,-0.9914448613738105,142.0,6.495,46.400000000000006,0
-0.17364817766693003,-0.9848077530122081,143.5,6.04,49.3,1
-0.21643961393810293,-0.9762960071199334,139.5,6.18,47.650000000000006,1
